Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9
volume_sn_voxels::v11,0.00026752386474981904,-0.000492351595312357,-0.00022332108346745372,0.0003474131226539612,0.00027107479400001466,-0.0001776097487891093,0.00031542638316750526,3.6267174436943606e-05,-0.0005922148702666163,-0.00029242088203318417
volume_sn_voxels::v12,0.00030200989567674696,-0.0005646193167194724,-0.00018325257406104356,0.0003990185505244881,0.00041753012919798493,-0.0002342661755392328,0.00029292062390595675,0.0002697345626074821,-0.0006672466406598687,-0.00025164723047055304
volume_sn_voxels::v13,0.00033031293423846364,-0.0005928424652665854,-9.997998859034851e-05,0.0004184023418929428,0.0005473845521919429,-0.0002362706436542794,0.00026858472847379744,0.0004744898760691285,-0.0006239337380975485,-0.00016234566282946616
volume_sn_voxels::v14,0.00034263040288351476,-0.000531972327735275,1.0750665751402266e-05,0.00043098119203932583,0.0005612954264506698,-0.00020960257097613066,0.000265373382717371,0.0006359550752677023,-0.0005914748180657625,-0.00015962096222210675
volume_sn_voxels::v15,0.00042662277701310813,-0.0005608951905742288,0.00017844975809566677,0.00048131003859452903,0.0007306449697352946,-0.00025097071193158627,0.00041428167605772614,0.0007848945679143071,-0.0006614725571125746,-0.00017163612938020378
volume_sn_voxels::v16,0.0003158324398100376,-0.00017470640887040645,-0.00013835166464559734,0.0002484765718691051,0.00029981081024743617,0.00038132959161885083,0.00012267987767700106,-0.0006804323056712747,-0.0005928962491452694,0.0001313387037953362
volume_sn_voxels::v17,0.00030480342684313655,-0.0002605999761726707,-0.000207815071917139,0.00021403691789600998,0.00021908507915213704,0.00018467246263753623,0.00016166671412065625,-0.0006109868991188705,-0.0004944757092744112,-3.190734423696995e-05
volume_sn_voxels::v18,0.00035219264100305736,-0.0004295277176424861,-0.00030222575878724456,0.00027545136981643736,0.00027001264970749617,4.3043219193350524e-05,0.00020218681311234832,-0.0006211803993210196,-0.0005986730102449656,-0.00016389138181693852
volume_sn_voxels::v19,0.00029739795718342066,-0.0004938999190926552,-0.00030805444112047553,0.0003116148291155696,0.00034113938454538584,-0.00011320869816699997,0.00018021455616690218,-0.0003628101840149611,-0.0006120960460975766,-0.000177706140675582
volume_sn_voxels::v20,0.0003397924010641873,-0.000580697029363364,-0.0002915138902608305,0.00036081651342101395,0.0004613493219949305,-0.00019961351063102484,0.00012869805505033582,-0.00012040066212648526,-0.0006137376767583191,-0.00013636112271342427
volume_sn_voxels::v21,0.00039897148963063955,-0.0006605979287996888,-0.00021170670515857637,0.00042852212209254503,0.0006169701227918267,-0.0002585048205219209,9.165811206912622e-05,0.00018751223979052156,-0.0006190561107359827,-3.134420694550499e-05
volume_sn_voxels::v22,0.0004133623151574284,-0.0006407155888155103,-0.00010364579793531448,0.0004623990971595049,0.0007147661526687443,-0.00025350513169541955,6.131836562417448e-05,0.0004438526520971209,-0.0006048985524103045,2.810432852129452e-05
volume_sn_voxels::v23,0.00042545428732410073,-0.0006483292090706527,-1.6502237485838123e-05,0.00047770736273378134,0.000793948071077466,-0.0002175273693865165,0.00010122227831743658,0.000618482124991715,-0.0006124790525063872,-3.9336814552370925e-06
volume_sn_voxels::v24,0.0004895530873909593,-0.0006219036877155304,0.00012130389222875237,0.00046446805936284363,0.0008707597153261304,-0.00023716178839094937,0.00023657531710341573,0.0008284961804747581,-0.0006521991454064846,-8.499069372192025e-05
volume_sn_voxels::v25,0.0003522000042721629,-0.00021808291785418987,-7.466615352313966e-05,0.00016535352915525436,0.000396156741771847,0.00040609820280224085,-1.6480527847306803e-05,-0.0009059984004124999,-0.0005624820478260517,0.00028487053350545466
volume_sn_voxels::v26,0.0003689351142384112,-0.00031806924380362034,-0.00018398620886728168,0.00015847687609493732,0.0003681369125843048,0.00020116126688662916,2.0539680917863734e-05,-0.0008927059825509787,-0.0004938357160426676,0.00012334859638940543
volume_sn_voxels::v27,0.00039605016354471445,-0.0005050245672464371,-0.00028492161072790623,0.00020617547852452844,0.00039573790854774415,4.215668013785034e-06,1.887055259430781e-05,-0.0008026552968658507,-0.0005615301197394729,-2.165760815842077e-05
volume_sn_voxels::v28,0.00034020247403532267,-0.0005073543288744986,-0.0002568991621956229,0.00023185418103821576,0.000395225768443197,-0.0001328323851339519,1.6930753190536052e-05,-0.0004886072129011154,-0.0004917343612760305,-5.351331492420286e-05
volume_sn_voxels::v29,0.0004043630906380713,-0.0005973519291728735,-0.00024508911883458495,0.00034650834277272224,0.0005180580774322152,-0.00022263824939727783,-3.276027928222902e-05,-0.0002408364525763318,-0.00048553591477684677,3.504288997646654e-06
volume_sn_voxels::v30,0.0004376244614832103,-0.0007082140655256808,-0.00019454082939773798,0.000452546461019665,0.0007310037035495043,-0.0002686492807697505,-7.451311103068292e-05,9.116606088355184e-05,-0.0005110164638608694,0.00010179521632380784
volume_sn_voxels::v31,0.0004916597972624004,-0.0008106691529974341,-0.00014325784286484122,0.0005137212574481964,0.0009620555792935193,-0.000288749230094254,-0.00010693779040593654,0.0003862500307150185,-0.000540715001989156,0.00013090022548567504
volume_sn_voxels::v32,0.0005335211753845215,-0.0008120923885144293,-4.774277476826683e-05,0.0005627574864774942,0.0010262131690979004,-0.00026234338292852044,-3.793460928136483e-05,0.0006510996608994901,-0.0006060700980015099,7.893008296377957e-05
volume_sn_voxels::v33,0.0005318803014233708,-0.0006306710420176387,9.519912418909371e-05,0.0005339672206901014,0.0009798160754144192,-0.00020057793881278485,0.00012416414392646402,0.0008302197093144059,-0.0006176221650093794,-6.684593245154247e-05
volume_sn_voxels::v34,0.00042158085852861404,-0.0003942113253287971,-7.997287320904434e-05,6.13808588241227e-05,0.00046031633974052966,0.0001828928361646831,-8.938972314354032e-05,-0.0010295442771166563,-0.00047584311687387526,0.00019643837003968656
