Feature,Factor_0,Factor_1
volume_sn_voxels::v345,-1.4149554,0.31081614
volume_sn_voxels::v346,-1.2888755,0.0451447
volume_sn_voxels::v347,-1.1115297,-0.15419126
volume_sn_voxels::v348,-1.0442431,-0.46280557
volume_sn_voxels::v349,-0.82414234,0.026614336
volume_sn_voxels::v350,-0.84256464,0.088941306
volume_sn_voxels::v351,-0.91549766,0.1333515
volume_sn_voxels::v352,-1.1184164,0.04824212
volume_sn_voxels::v353,-1.2190359,-0.34607905
volume_sn_voxels::v354,-1.1725348,-0.37991694
volume_sn_voxels::v355,-1.0222725,-0.6612017
volume_sn_voxels::v356,-0.67421335,-0.85933745
volume_sn_voxels::v357,-0.59991354,-0.5751565
volume_sn_voxels::v358,-0.7196812,-0.45557344
volume_sn_voxels::v359,-0.9517278,-0.5358199
volume_sn_voxels::v360,-1.0262108,-0.68586844
volume_sn_voxels::v361,-1.102664,-0.91744167
volume_sn_voxels::v362,-1.0074176,-0.9707578
volume_sn_voxels::v363,-0.84680134,-1.081781
volume_sn_voxels::v364,-0.34343567,-0.058649223
volume_sn_voxels::v365,-0.25632012,-0.355141
volume_sn_voxels::v366,-0.6675907,0.41646406
volume_sn_voxels::v367,-0.49456942,-0.04436877
volume_sn_voxels::v368,-0.472416,-0.18473287
volume_sn_voxels::v369,-0.91953355,0.6956577
volume_sn_voxels::v370,-1.0406705,0.5240054
volume_sn_voxels::v371,-0.8369406,0.31792808
volume_sn_voxels::v372,-0.80337274,-0.02277929
volume_sn_voxels::v373,-0.90888727,0.43470916
volume_sn_voxels::v374,-1.0586131,0.46368954
volume_sn_voxels::v375,-1.2330701,0.4789164
volume_sn_voxels::v376,-1.4318796,0.21748804
volume_sn_voxels::v377,-1.0617718,0.057812974
volume_sn_voxels::v378,-0.953617,-0.3423552
volume_sn_voxels::v379,-1.0448302,0.41811875
volume_sn_voxels::v380,-0.9745281,0.43307605
volume_sn_voxels::v381,-1.2175251,0.4857955
volume_sn_voxels::v382,-1.3027607,0.30951506
volume_sn_voxels::v383,-1.347506,0.24363925
volume_sn_voxels::v384,-1.1955087,-0.27045453
volume_sn_voxels::v385,-1.0217798,-0.35028264
volume_sn_voxels::v386,-1.2312807,0.21863896
volume_sn_voxels::v387,-1.1378841,0.37510628
volume_sn_voxels::v388,-1.2951326,0.49843994
volume_sn_voxels::v389,-1.3645191,0.43748182
volume_sn_voxels::v390,-1.3991702,0.3312312
volume_sn_voxels::v391,-1.3438855,0.27892703
volume_sn_voxels::v392,-1.1421798,-0.05863298
volume_sn_voxels::v393,-1.2881606,0.12624186
volume_sn_voxels::v394,-1.1337291,0.25982505
volume_sn_voxels::v395,-1.2408637,0.43861902
volume_sn_voxels::v396,-1.3073852,0.4814757
volume_sn_voxels::v397,-1.4261751,0.30818453
volume_sn_voxels::v398,-1.3583777,0.43027514
volume_sn_voxels::v399,-1.2337185,0.24850051
volume_sn_voxels::v400,-1.1075755,-0.105939426
volume_sn_voxels::v401,-1.222236,0.0806729
volume_sn_voxels::v402,-1.3287112,0.3953906
volume_sn_voxels::v403,-1.2276031,0.46043065
volume_sn_voxels::v404,-1.3156103,0.44748583
volume_sn_voxels::v405,-1.3711718,0.44760907
volume_sn_voxels::v406,-1.2168498,0.27503657
volume_sn_voxels::v407,-1.2223189,0.13930936
volume_sn_voxels::v408,-1.0367503,-0.12527905
volume_sn_voxels::v409,-0.8952086,-0.31258103
volume_sn_voxels::v410,-1.0359257,-0.112958565
volume_sn_voxels::v411,-1.3025517,0.21202753
volume_sn_voxels::v412,-1.2349697,0.35733584
volume_sn_voxels::v413,-1.370784,0.406535
volume_sn_voxels::v414,-1.2198966,0.30991992
volume_sn_voxels::v415,-1.2247174,0.41644183
volume_sn_voxels::v416,-1.1456801,0.23684758
volume_sn_voxels::v417,-1.2231014,0.018237388
volume_sn_voxels::v418,-1.056939,-0.08315681
volume_sn_voxels::v419,-0.8659463,-0.3346601
volume_sn_voxels::v420,-0.57507163,-0.48049676
volume_sn_voxels::v421,-0.8110919,-0.18918973
volume_sn_voxels::v422,-0.956634,0.07405926
volume_sn_voxels::v423,-1.1007367,0.30390096
volume_sn_voxels::v424,-1.1793157,0.23419887
volume_sn_voxels::v425,-1.6599476,0.41783643
volume_sn_voxels::v426,-1.3928862,0.08230016
volume_sn_voxels::v427,-1.303356,0.07134115
volume_sn_voxels::v428,-1.1902586,0.05894464
volume_sn_voxels::v429,-1.0897999,-0.08518939
volume_sn_voxels::v430,-0.86640584,-0.3578388
volume_sn_voxels::v431,-0.77740604,-0.6806573
volume_sn_voxels::v432,-0.6862876,-0.6253531
volume_sn_voxels::v433,-0.7609764,-0.1055378
volume_sn_voxels::v434,-1.0369415,0.11687487
volume_sn_voxels::v435,-0.8939576,0.25445
volume_sn_voxels::v436,-1.0027082,0.06629978
volume_sn_voxels::v437,-1.3971521,0.105885126
volume_sn_voxels::v438,-1.5216936,0.0032764252
volume_sn_voxels::v439,-1.3215151,-0.15079223
volume_sn_voxels::v440,-1.0912248,-0.28203094
volume_sn_voxels::v441,-1.0437756,-0.5046844
volume_sn_voxels::v442,-0.9673629,-1.1095825
volume_sn_voxels::v443,-0.64816636,-1.0701951
volume_sn_voxels::v444,-0.49713466,-0.5060947
volume_sn_voxels::v445,-0.77414054,-0.28337812
volume_sn_voxels::v446,-0.8419116,-0.062165458
volume_sn_voxels::v447,-0.9074699,0.24700248
volume_sn_voxels::v448,-1.0570261,-0.02248692
volume_sn_voxels::v449,-1.2933669,-0.29526836
volume_sn_voxels::v450,-1.2615108,-0.46901834
volume_sn_voxels::v451,-1.1652402,-0.49470234
volume_sn_voxels::v452,-1.0535408,-0.7302716
volume_sn_voxels::v453,-1.1481167,-1.132171
volume_sn_voxels::v454,-0.71694636,-1.1514091
volume_sn_voxels::v455,-0.4900249,-0.45267045
volume_sn_voxels::v456,-0.7125037,-0.3295761
volume_sn_voxels::v457,-0.818855,-0.3693772
volume_sn_voxels::v458,-0.9512195,-0.20864625
volume_sn_voxels::v459,-0.94570076,-0.49008515
volume_sn_voxels::v460,-1.1817079,-0.7292513
volume_sn_voxels::v461,-1.1939051,-0.88873786
volume_sn_voxels::v462,-1.0951129,-1.0096401
volume_sn_voxels::v463,-1.0399657,-1.2972561
volume_sn_voxels::v464,-0.80545074,-1.3844142
volume_sn_voxels::v465,-0.5520463,-0.64683545
volume_sn_voxels::v466,-0.745482,-1.0027543
volume_sn_voxels::v467,-0.83532906,-0.7224059
volume_sn_voxels::v468,-0.8709987,-0.8053915
volume_sn_voxels::v469,-1.0981381,-1.1547916
volume_sn_voxels::v470,-1.070978,-1.2497997
volume_sn_voxels::v471,-0.97862995,-1.5363871
volume_sn_voxels::v472,-0.86048317,-1.7262359
volume_sn_voxels::v473,-0.54692674,-1.5625414
volume_sn_voxels::v474,-0.39064485,-1.1239116
volume_sn_voxels::v475,-0.4935609,-1.2525882
volume_sn_voxels::v476,-0.6092168,-1.1869781
volume_sn_voxels::v477,-0.7983884,-1.5995997
volume_sn_voxels::v478,-0.15747006,-2.056703
volume_sn_voxels::v479,-0.30142778,-2.1423824
volume_sn_voxels::v480,-0.44948387,0.043020703
volume_sn_voxels::v481,-0.3589746,-0.23738222
volume_sn_voxels::v482,-0.697699,0.2843085
volume_sn_voxels::v483,-0.7231511,0.0007619251
volume_sn_voxels::v484,-0.69897556,-0.09851876
volume_sn_voxels::v485,-0.90804917,0.26614517
volume_sn_voxels::v486,-0.8655034,0.24276035
volume_sn_voxels::v487,-1.3979037,0.2190416
volume_sn_voxels::v488,-1.0435982,-0.019133983
volume_sn_voxels::v489,-1.0559105,0.08696067
volume_sn_voxels::v490,-0.9885073,0.058091465
volume_sn_voxels::v491,-1.174046,0.265924
volume_sn_voxels::v492,-1.1662182,0.15252957
volume_sn_voxels::v493,-1.0682044,0.031079168
volume_sn_voxels::v494,-1.0805827,-0.15969393
volume_sn_voxels::v495,-1.1006378,-0.06305516
volume_sn_voxels::v496,-1.0222402,-0.07470579
volume_sn_voxels::v497,-1.1440896,0.09824072
volume_sn_voxels::v498,-1.2409261,0.16654605
volume_sn_voxels::v499,-1.1759381,0.15152806
volume_sn_voxels::v500,-1.1036757,0.016085962
volume_sn_voxels::v501,-0.93564785,-0.19151859
volume_sn_voxels::v502,-1.1607454,-0.023358708
volume_sn_voxels::v503,-1.1741394,0.11340759
volume_sn_voxels::v504,-1.1840653,0.10209257
volume_sn_voxels::v505,-1.1988312,0.15930244
volume_sn_voxels::v506,-1.1117694,0.05359713
volume_sn_voxels::v507,-0.9454361,0.024491262
volume_sn_voxels::v508,-0.93807256,-0.16881208
volume_sn_voxels::v509,-1.2176664,-0.16555998
volume_sn_voxels::v510,-1.1349535,-0.046592325
volume_sn_voxels::v511,-1.0745176,0.12821491
volume_sn_voxels::v512,-1.118268,0.059245355
volume_sn_voxels::v513,-1.2087636,0.13097477
volume_sn_voxels::v514,-1.1014022,-0.0012481903
volume_sn_voxels::v515,-1.052048,-0.19687119
volume_sn_voxels::v516,-0.83330137,-0.24229574
volume_sn_voxels::v517,-1.2014709,-0.036547452
volume_sn_voxels::v518,-1.2693859,-0.03862196
volume_sn_voxels::v519,-1.223661,-0.021479642
volume_sn_voxels::v520,-1.0408229,0.054369073
volume_sn_voxels::v521,-1.2133751,0.016375536
volume_sn_voxels::v522,-1.2322851,0.01671747
volume_sn_voxels::v523,-0.999241,-0.19143204
volume_sn_voxels::v524,-0.9068498,-0.29208243
volume_sn_voxels::v525,-1.0648408,-0.09520853
volume_sn_voxels::v526,-1.2231456,-0.15241323
volume_sn_voxels::v527,-1.2975775,-0.064034596
volume_sn_voxels::v528,-1.316449,-0.034617543
volume_sn_voxels::v529,-1.1979026,-0.11819001
volume_sn_voxels::v530,-1.1229339,-0.12484053
volume_sn_voxels::v531,-1.091026,-0.18199068
volume_sn_voxels::v532,-0.87298054,-0.2618157
volume_sn_voxels::v533,-0.74619657,-0.4532938
