Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4
volume_sn_voxels::v268,-1.5399364,-0.46948785,7.5393476,-5.7610393,0.76763225
volume_sn_voxels::v269,2.315844,-0.7827409,8.154583,3.2087448,0.47910807
volume_sn_voxels::v270,0.07666967,0.6515019,0.2636767,6.1186643,0.7406764
volume_sn_voxels::v271,-1.8817288,0.8160649,-6.2194934,-14.537261,0.9000793
volume_sn_voxels::v272,-0.97740203,0.8096979,-2.264797,2.632805,0.98665625
volume_sn_voxels::v273,0.68151593,0.58097565,0.78655475,5.166558,1.0992154
volume_sn_voxels::v274,-2.178836,0.3024564,-1.5303799,-1.3396667,0.94221866
volume_sn_voxels::v275,2.585491,-0.1498793,4.082814,-0.27359444,0.9393965
volume_sn_voxels::v276,-2.191691,-0.83668935,-2.7529354,-0.2991602,0.6545023
volume_sn_voxels::v277,-2.1407626,-0.46145865,-3.2230403,-2.4174,0.64243966
volume_sn_voxels::v278,-1.6150843,0.88357586,-3.2774563,1.8831371,0.9449754
volume_sn_voxels::v279,1.7888064,0.7493346,4.626013,3.4676542,0.9202163
volume_sn_voxels::v280,-0.54770553,0.5301175,2.7183573,-8.311891,0.94215363
volume_sn_voxels::v281,1.03903,0.06865306,8.452756,-3.360598,0.85014427
volume_sn_voxels::v282,2.7574546,-0.25284016,-0.43831128,-0.88652754,0.7232776
volume_sn_voxels::v283,-0.514606,0.8934248,4.0368404,-0.5788839,0.8433045
volume_sn_voxels::v284,-0.7746006,1.0524291,13.573458,4.9412146,1.0828836
volume_sn_voxels::v285,-3.6627688,0.9177164,4.5440006,8.481218,0.9263364
volume_sn_voxels::v286,-0.23843239,-0.0854304,8.824469,14.750093,0.6737148
volume_sn_voxels::v287,0.6161607,0.19176131,0.22314411,-3.7027128,0.887725
volume_sn_voxels::v288,0.33947033,0.35923523,3.643215,-11.659661,0.94329387
volume_sn_voxels::v289,-0.78934205,-0.1864477,9.735813,-3.1156635,0.77227116
volume_sn_voxels::v290,-2.1317067,-0.25153083,5.297541,9.345596,0.7846214
volume_sn_voxels::v291,-2.2746613,-0.17487125,6.8878107,-3.8913434,0.8629155
volume_sn_voxels::v292,-3.6164992,-0.058998432,0.028730826,-14.814541,0.8996539
volume_sn_voxels::v293,2.5754013,-0.3419604,-4.450023,3.148887,0.7336031
volume_sn_voxels::v294,0.3992447,-0.06926346,5.5774655,-4.216166,1.1037319
