Subject,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_20,0.66722494,-0.7954949,-1.0175606,-0.5846578,0.7558278,-0.5599142,-0.74992007,0.95797783,0.27460745,1.0673639,0.2930525,-0.505283,0.19396035,-0.09179066,0.1358191,-0.6958089,0.6264125,0.39705354,0.50184625,-0.40504038
Subject_21,-0.7462866,-1.2768877,0.93010193,-0.21975227,-0.43460965,1.033416,1.3839822,-0.30528462,-0.5637477,0.13091387,0.9230881,1.1586574,0.36345938,0.86604786,1.0801572,-0.6891099,1.1256287,-0.8638907,-0.03914202,0.96121454
Subject_22,0.8724041,-0.34908026,-1.1729851,-0.5495486,0.83117086,-1.0498972,0.4590546,-0.75369805,0.32585967,1.1162622,0.9651248,-0.8356871,0.9865873,-0.46124443,-0.79291975,-0.16091928,0.81362355,-0.42700008,0.89538807,0.83622605
Subject_23,-0.8956351,-0.78519076,0.95123434,0.28388828,0.9645275,0.6016316,0.41371644,0.25709605,0.2756449,-0.7113135,-0.61698556,-0.67735755,-0.5925625,0.68019634,0.68156236,0.6958069,0.5478081,0.06766304,-0.466095,-0.5560865
Subject_24,-0.5313702,-0.8940545,-1.0261152,-0.24924357,-0.57752603,-0.74036527,0.5687362,1.2572572,1.1378843,0.6316548,0.17557636,-1.126666,0.7963973,0.1555814,-0.22654353,-0.57565373,0.74350137,-0.44657546,0.41744632,0.05372318
Subject_25,-0.87010884,0.6692039,0.113812596,0.06021364,-0.2681788,0.7865987,0.30918157,-1.3014342,-0.35572797,-1.7823503,0.8900012,-1.1914184,0.85663277,0.901398,0.61232734,-0.5341112,0.883185,0.43084866,1.2068741,0.9908238
Subject_26,0.2688769,1.2604221,0.6627538,0.24001414,-0.9228975,0.8698564,0.8928763,0.88602334,-1.0058951,0.75333047,-0.37629753,-0.7171099,1.2945248,-0.11880019,-0.756123,1.4232124,0.40691653,-0.7942267,0.5306112,0.5799942
Subject_27,-0.7744294,-0.98400974,-0.31613606,0.018653031,-0.94141465,-0.5774665,0.027649255,-0.065287605,0.7871036,-0.4889242,-1.0424482,-0.10549883,-0.7572165,0.694985,-0.7607745,0.67402583,-0.58223766,0.55246824,0.54952216,-0.91914004
Subject_28,0.08803591,-0.92611414,-0.40449443,0.7377185,-0.3946955,-0.6237952,1.1925792,0.7598855,-1.0359385,0.95698357,1.026909,1.0605019,-0.28526458,-0.96276855,0.92373484,-0.7089839,1.1787808,-0.33464703,0.89277947,1.1234558
Subject_29,1.1692326,-0.84838426,-0.7078601,-0.3863201,-0.95252204,0.7793249,-0.19082835,0.9110004,-0.5770204,0.5975156,-0.52899176,1.021918,-0.90376717,-0.07212956,-1.3481207,-1.0375261,0.23694946,0.74506944,-0.865982,-1.350425
Subject_30,-0.95852077,0.64827603,-0.0031355482,-0.44133765,0.044654183,1.1194854,0.48025715,0.15361448,-0.9264363,0.037758205,0.8269127,-0.59596485,1.080701,0.78710556,-0.91612583,-0.21298242,-0.9673401,-0.6441921,1.55338,0.3761518
Subject_31,-0.6328119,0.48469627,0.8470302,-1.9781516,-0.8941359,0.56160414,-1.0260268,1.1197101,1.5352979,-0.6977396,0.113532126,0.6264861,-0.2119977,0.68654615,-0.64418185,-0.9828115,-1.1770799,1.1327058,-1.1808987,-0.4245442
Subject_32,-0.5738988,-0.50626427,-0.047423583,0.34634608,0.32967615,1.3741297,1.023559,-1.3229512,-0.4954201,-1.2347742,-0.7982129,0.89397323,1.3460999,0.79576236,0.71391964,0.30741468,1.0034283,-0.35163718,0.97759295,0.70631534
Subject_33,0.14979227,1.0674853,0.7608773,1.0818886,-0.096911676,-0.6388772,1.9832954,-0.09845899,-1.8164734,0.011353128,0.63350874,1.2107432,1.0323954,0.30308008,-0.74099535,1.0828569,1.2922081,-0.28111702,1.1963812,1.2893187
Subject_34,0.92824966,0.61211115,-0.86372477,0.02172024,0.22666347,-0.6128827,-0.20105459,1.236346,-0.16639186,-0.7181451,-1.0676926,0.5517494,-0.0053340406,0.9961285,-1.2682923,0.6722296,-1.0038658,1.1274799,-1.1574028,-0.72290176
Subject_35,-0.68487257,-0.92509663,0.09351217,0.43085307,0.8214965,-1.1961061,-0.25691184,-0.9362947,2.0846925,1.2930871,0.13610037,-0.6741122,0.57604724,-0.94640124,-1.1164263,1.1629303,0.63022125,-0.7026162,0.41691214,0.2795559
