Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21
volume_sn_voxels::v103,0.00055441185,0.00036701895,0.0005264715,-0.0011332739,-0.00098942,-0.00040974055,0.0010764311,-0.00068484695,-0.00083723967,-0.00024726268,0.0002701903,0.0006512794,-0.00095002353,-0.00062903785,-6.599913e-05,1.4048467e-05,0.0002686486,0.0004940423,0.0014103672,0.00020702762,-0.001560789,0.0009789896
volume_sn_voxels::v104,0.00071630924,0.00029189547,0.0002448912,-0.0011896278,-0.0011152865,-0.00028881725,0.00055656844,-0.000693811,-0.00064576766,-0.0005578769,-0.00026600977,0.0007627692,-0.0013272413,-0.00089226494,0.0001511191,1.2569688e-05,0.00020888283,0.0003161003,0.0013687246,0.0005108565,-0.0014413785,0.00057239673
volume_sn_voxels::v111,0.00052113755,0.0005729352,0.0008656864,-0.001274069,-0.0007217962,-0.0003687736,0.0008971979,-0.0006407245,-0.00051053695,0.00020016766,0.00018793535,0.00095263636,-0.0014985767,-0.0005350091,-0.0008760154,2.0274463e-05,0.0006147564,0.00048103236,0.0011035724,1.1043265e-05,-0.0010255728,0.0011254721
volume_sn_voxels::v112,0.00058030436,0.00043665376,0.00054614333,-0.0011625387,-0.0010604834,-0.00017817575,0.00041289968,-0.0006994227,-0.00052093744,-0.00021444223,-0.00036303233,0.00085671805,-0.0012285456,-0.00060460804,-0.0005860734,3.109858e-05,0.0006012691,0.00029633558,0.0012346831,0.0003576562,-0.00081821834,0.0006447737
volume_sn_voxels::v119,0.00051961554,0.00063847756,0.0011978013,-0.0012865638,-0.0008877023,-0.00013150954,0.0014787993,-0.00051974534,-0.0003659714,0.0002630078,0.00025966627,0.0011307067,-0.0016206321,-0.00026541686,-0.001565713,0.0002605177,0.00050493167,0.00029365,0.0012053318,-0.00041713618,-0.0003858428,0.0007603028
volume_sn_voxels::v120,0.0005633186,0.0007488279,0.0008089239,-0.0010675051,-0.0010289566,5.4379605e-05,0.00077557436,-0.0004639087,-0.0005323315,-0.00024878405,-0.00017984043,0.0007907377,-0.0014433191,-0.0006722873,-0.0013139169,0.00024749438,0.00055369554,0.00051928335,0.0007756784,5.1480914e-05,-0.0004429876,0.000505775
volume_sn_voxels::v121,0.0006920312,0.00059039705,0.0006114572,-0.0011658897,-0.0011811438,0.00032032636,0.00032880637,-0.00025326706,-0.00070280774,-0.00078365346,-0.00046500226,0.000635227,-0.00078046677,-0.00089662697,-0.0009208883,0.00039652037,0.00073659734,0.0006485941,0.0007175847,0.00044309025,-0.00017947273,0.00021824805
volume_sn_voxels::v127,0.00066931726,0.000622532,0.0005865663,-0.00061178004,-0.0012558132,0.0013050948,0.00089481706,0.00068386865,-0.0013213458,-0.0016634093,-0.00031655017,-0.00043075657,0.00047059733,-0.0007431661,-0.0007428433,0.00071689766,0.0006274381,0.0009374874,0.00018475705,0.0002936072,0.00040773393,-0.0011165944
volume_sn_voxels::v132,0.00035186976,0.00059305626,-0.00016678251,1.3598666e-05,-0.00078190345,0.0015890239,-0.00017322478,-0.0018253212,0.0007167981,0.0002135251,-0.001278253,0.0013132382,0.0016945514,0.000484162,-0.00020562384,0.001395258,-0.0012543222,-0.0013157717,-0.00113843,0.00013066333,0.0010309006,0.0005610362
volume_sn_voxels::v147,0.0006788142,-1.5664244e-05,-0.00035021093,-0.00048440837,-0.0008357931,0.00044122033,0.00013767662,-0.00087361754,-0.0008499434,-0.00035946237,-0.00055330637,-8.053635e-06,0.0006137879,0.0007477164,0.0011447645,-7.5114825e-05,-0.000965594,7.9030215e-05,0.00072041346,0.0002579559,-0.0009375564,-0.00045143376
volume_sn_voxels::v148,0.00072735717,0.00011364899,-0.0006233007,-0.000616309,-0.0012413444,0.00022203791,-9.236621e-05,-0.0012171967,-0.0006133382,-0.0006504938,-0.0007334435,0.0005147182,0.00036498252,0.00057940074,0.00090787775,-0.00034917626,-0.0004245733,-6.346267e-05,0.00042262024,0.0001055332,-0.00026986634,-0.0007848017
volume_sn_voxels::v155,0.0007800464,9.2774855e-05,-0.00025931833,-0.00083224534,-0.0011636044,0.000100001576,0.00017797819,-0.00085889205,-0.00093337824,-0.0008581071,-0.00050853327,0.00015704238,0.00013778827,0.00016449427,0.001170581,-0.00015053242,-0.0005840168,1.5023613e-05,0.00084685633,0.00034187056,-0.0009594785,-0.00040200373
volume_sn_voxels::v163,0.0006626271,0.0003212287,0.0007014556,-0.001039518,-0.0007900129,7.945155e-05,0.0014245001,-0.00039950022,-0.0013296504,-0.0006677396,0.00091405003,0.00035487782,-0.00011513321,-0.00010322217,0.0007225337,0.000117079806,-0.0005637975,0.0006040779,0.00061708083,0.00010080005,-0.0012398786,0.00020378134
volume_sn_voxels::v164,0.00066773646,0.00025652262,0.00014927292,-0.0010823283,-0.0010052616,-5.35709e-06,0.00041944653,-0.0005718959,-0.0007752801,-0.0007522196,0.00017731675,0.00040119013,-0.00024083264,-0.00021419153,0.0007789017,0.00010760924,-0.00038983955,0.00021456007,0.00077332003,0.0002968682,-0.0012832646,3.8025707e-06
volume_sn_voxels::v172,0.00044616932,0.00059442286,0.0009918477,-0.0011182983,-0.0006989667,-5.663414e-05,0.0016141894,-0.00031305247,-0.0008671095,0.00021416192,0.0012221356,0.000698936,-0.0007212921,-0.00010741272,-0.00029381152,6.148142e-05,0.00011639659,0.00014620868,0.0005679641,-0.00018790142,-0.0001992473,0.0006115183
volume_sn_voxels::v173,0.00057678326,0.0005499582,0.00077246287,-0.00127034,-0.0007737783,-0.00015793901,0.0008096229,-0.0003915137,-0.00082262314,-0.00032087642,0.0008395719,0.0007879212,-0.0008668023,-0.00042169637,-0.000111892,0.00026312072,-1.3921286e-05,0.0003052419,0.0010548842,5.3685868e-05,-0.0006003832,0.0006843707
volume_sn_voxels::v182,0.00043018922,0.000553518,0.0012196453,-0.0011501691,-0.0006512919,-0.00061673863,0.001318227,-0.00047037343,-0.00017331871,0.0005045564,0.00090736087,0.0010420886,-0.0015553447,-5.630764e-05,-0.0010620942,-0.00012615966,0.00064221205,-0.00028966766,0.0007013706,-0.00018735319,0.00049728464,0.00092215394
volume_sn_voxels::v183,0.0006022675,0.00062295096,0.0010434763,-0.0012554037,-0.00059857115,-0.00028731025,0.0006659106,-0.00048473277,-0.00027649803,0.00017044714,0.0005490258,0.0012495636,-0.0014653871,-0.0005439981,-0.0008512589,0.00021038853,0.00039314217,0.00025918602,0.00061585905,-0.00044800204,-4.2134023e-05,0.0011015347
volume_sn_voxels::v191,0.00047033,0.0006252368,0.0014257686,-0.0012709049,-0.0006711411,-0.00026279344,0.000720176,-0.00040785375,-0.00012915388,0.00047682208,0.00054763706,0.0011592817,-0.0016659348,-0.0003944916,-0.0015360776,0.00017081664,0.0004924624,0.0002865036,0.0007221845,-0.0003455857,0.0005313602,0.00076435006
volume_sn_voxels::v192,0.0007007746,0.00091908645,0.0012420148,-0.00165712,-0.00091789424,9.5038136e-05,9.756713e-05,-0.00016724132,-0.00024291269,2.0967336e-05,9.8250755e-05,0.0011993032,-0.0016516022,-0.00078599475,-0.0016805687,0.00040815264,0.0004310876,0.0007900654,0.0004551778,-0.00011047162,0.00014184168,0.00039221515
volume_sn_voxels::v199,0.00045770706,0.00062895304,0.0015281057,-0.0011904894,-0.00037571965,6.5389744e-05,0.001112661,-3.7941645e-05,-3.1428448e-05,0.00040542864,0.00073659135,0.00091416406,-0.0017440818,-4.1091625e-05,-0.001493951,0.00030859341,0.0006604989,1.0163814e-05,0.00046380458,-0.00048272024,0.00073782343,0.0005729553
volume_sn_voxels::v200,0.0005467137,0.0008556369,0.0013566479,-0.001172115,-0.00062368123,0.00036530837,0.0006249179,0.00029232737,-0.00018459538,-0.00015150837,0.00036015385,0.00084987056,-0.0017231542,-0.00047558785,-0.0015999486,0.0007731505,0.00043422132,0.00060798996,0.00023039216,-0.00016872528,0.00045293092,-4.1041505e-05
volume_sn_voxels::v201,0.0006212654,0.0008210248,0.0010273692,-0.0009575535,-0.00083495147,0.0005803921,0.00012030611,0.0003443712,-0.0003268028,-0.0007477985,6.7836886e-06,0.00036295244,-0.0008558582,-0.0007044912,-0.0011084811,0.0007826441,0.00016393192,0.0008177351,-0.00022157884,0.00020373498,0.00046233655,-0.00028461032
volume_sn_voxels::v202,0.0007477221,0.0007740777,0.00082898885,-0.0010740324,-0.0010174955,0.000992802,-0.00045521298,0.00053696503,-0.0006970712,-0.0012460945,-0.00025182546,-1.7624567e-05,-7.277485e-05,-0.0011277327,-0.0010890375,0.0007436174,0.0003272484,0.0011137532,-0.0003176841,0.0008427704,0.0006917197,-0.0007218972
volume_sn_voxels::v203,0.00082289905,0.0005646278,0.00036847373,-0.00076134555,-0.0010449799,0.00116355,-0.0003870478,0.0005212426,-0.0008348141,-0.0016211359,-0.0003628011,-0.00033358907,0.0004201435,-0.001061507,-0.00076091173,0.00044128046,0.00055820687,0.00061885803,-0.00022745323,0.0012576807,0.0006867602,-0.00091476
