Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
-1.051818,-0.18160173,1.1800108,1.2564646,-1.584857
-0.5693881,-0.019601751,-0.2619666,1.1956524,-0.58396304
-0.39435133,0.9871071,0.20040406,1.1454891,-0.5846052
-0.5524746,0.90160847,-0.32325202,1.2201573,-0.4919823
-0.34455475,0.4214723,1.0368412,1.2504427,-0.6034881
0.055744212,0.9087638,1.1977249,1.3812367,-0.49639645
0.034293335,0.038959637,1.5977806,1.11743,-0.5864792
0.31199792,0.0619923,1.5195118,0.93260723,-0.68717945
0.888656,-0.9925067,1.7587535,0.83571196,-1.2716655
-1.1626711,-0.38364393,-0.6689385,1.0185367,-0.5588754
-0.51599073,-2.0550952,-0.065284,1.3231746,-0.5167323
0.008793694,-0.03022104,0.41963077,1.2612193,-0.5003712
0.8826318,-0.19035819,0.9259739,1.2572207,-0.54647744
-0.33495247,0.15197739,1.502869,1.2810562,-0.6118094
0.65460306,-0.37463284,1.4406979,1.3380762,-0.8014374
1.3493869,0.42089358,1.5448995,0.8547819,-0.8250412
0.3297373,-0.015224952,0.5695195,0.6614639,-0.856914
-1.2284276,-1.3138909,-1.3925827,0.56711304,-0.66831464
-0.24438354,0.5264065,-1.4584212,0.7114531,-0.54174393
0.25023252,0.23117754,-1.2032564,0.93166584,-0.53751004
-0.2767485,-0.009782624,-0.51831484,1.1524891,-0.5806293
-0.019537175,0.121189654,1.0726393,1.2514898,-0.5547518
0.47615182,0.4323285,0.6869828,1.1058358,-0.6244099
-0.35658225,0.30981636,1.1515613,1.007964,-0.7357011
2.2100947,0.8868445,1.4466122,0.9071845,-0.73396754
-0.5715506,0.34869045,1.6486386,0.749142,-0.7900483
-0.5911377,0.12675613,1.7028253,-1.7388359,-1.2093154
-0.17233881,0.39450502,-1.9374591,0.43176034,-0.6053268
-0.60202426,0.1011131,-1.4640996,0.66539824,-0.5374063
-0.20282884,1.8741367,-1.1781055,1.0372058,-0.5071157
0.2539975,0.44339022,-0.67806536,0.97708523,-0.5872349
-0.8255191,0.3807243,-0.07986318,1.2133301,-0.5412304
0.93797815,0.88149035,0.5344378,0.9423352,-0.80313337
0.4137039,-0.33113962,1.12013,0.9466049,-1.0208893
0.5086417,0.24508253,1.5735931,0.6447165,-0.91292655
0.6969235,-0.07513897,1.4778836,0.6947757,-1.0106043
0.22425489,-0.16996664,1.6134713,1.3974799,-1.0352017
0.87700164,-1.0335066,-1.7629219,0.39597479,-0.60034764
0.62336975,0.9991817,-1.6505885,0.6830423,-0.54828393
0.8504235,0.15262508,-1.4159513,0.67380595,-0.5856613
0.97203875,-0.15014301,-1.0081052,0.828757,-0.7181746
0.39159456,-0.27257743,-1.7065611,0.782558,-0.75065863
0.95358115,-0.49955028,0.23337749,0.7847763,-0.94875044
0.34351656,0.14400563,0.8163589,0.36707538,-1.1530248
0.5263018,-0.16976723,-0.58862346,0.71312296,-1.0700623
0.7357759,0.36123765,1.4775306,0.29579613,-1.2485487
-0.036456347,0.8544883,-1.6274849,0.3153554,-0.75033
-0.010503106,1.6256278,-1.306659,0.51281524,-0.85442156
-0.91643864,-1.7171332,-1.439379,0.502947,-0.98926795
-0.31305346,-0.8476676,-0.76121217,0.5773046,-0.9356786
-0.042090558,-0.15754236,-0.092583574,0.44771707,-1.0993164
1.0510792,0.29757968,0.61878926,0.67815495,-1.5027316
0.021692282,-0.25352925,1.0970696,0.111423776,-1.3863775
-0.45591047,1.4440985,1.3576741,-0.10377936,-1.2627921
0.03495168,-0.34911016,-1.7871392,0.18069442,-0.77974993
0.28702053,0.6144716,-1.620222,0.1274003,-0.9072765
0.22891891,-0.5031813,-1.0121539,0.2361052,-0.9248654
0.5190123,0.39630005,-1.0199201,0.2019889,-1.8407606
0.08727413,0.35252196,-0.22609644,0.07537697,-1.2736937
-0.0130167715,-0.26102346,0.542198,-0.065372296,-1.3465073
-0.40312123,-0.22246747,0.88293964,-0.28802785,-1.3672053
-0.31676114,0.38222829,-1.1870532,0.49356067,-0.26310977
-0.53271437,-0.27985993,-1.0667102,0.41533607,-0.22795616
-0.30934244,-0.41820884,-0.25292537,0.8994565,-0.32455716
-0.3827163,1.0935731,-0.9751662,0.68322617,-0.38030782
0.33853772,-0.6066893,-1.0596035,0.5157262,-0.42895177
0.35311708,-0.19911858,0.5415462,1.0568327,-0.56285
1.3060787,0.3511087,0.10637457,1.1037891,-0.73281217
0.09748011,0.11489725,-0.23829041,0.8265181,-0.51893544
-0.1074678,1.2069536,-0.52734673,0.73481405,-0.5154084
-0.18172513,-0.65954226,1.012535,1.2423187,-0.4503987
-0.5409852,0.25143185,0.83901995,1.109426,-0.5584395
-0.7071508,-0.030362325,0.8840445,0.9963064,-0.63059
1.1858853,-0.56359655,0.47664285,0.9073344,-0.7328653
-0.29439017,1.242024,0.15122807,0.6778475,-0.8549533
-0.8221821,-0.49164483,-0.3344933,0.638231,-0.894341
-1.4524454,-0.08535502,1.0456573,1.2322445,-0.59607357
-0.44715926,0.43474922,1.2456313,1.1930047,-0.6011343
0.88107574,-0.06686047,0.8811788,1.1743431,-0.5720965
1.3879243,2.3786144,-1.9787666,0.82197464,-0.7213224
0.7109179,-0.01265596,1.1888872,0.7629125,-0.8263367
-0.23719297,1.7413424,0.7800077,0.59274167,-0.9649254
1.1093191,0.16764906,0.656948,1.0436634,-0.98152584
0.3547209,-0.1604372,0.7507744,1.0830911,-0.6976585
-0.6141469,1.076292,1.1069869,0.93726224,-0.75260025
0.030224347,0.8716145,1.2904522,0.9806205,-0.7263255
0.0754543,-1.1208758,1.3820397,0.91097623,-1.7375385
-0.1890869,-0.44651136,1.565503,0.82904536,-0.84296864
-0.36772263,0.21039793,1.5581198,0.7184693,-0.85764503
-0.21482001,-1.7530094,1.1508137,0.53463864,-1.0079645
-0.16105735,-0.3621957,0.06101699,0.9504673,-0.78439105
-0.15183777,-0.30707723,0.7752698,1.0173951,-0.7552606
0.859176,-0.015514313,0.9906349,1.013571,-0.68960756
0.8302832,-1.6491385,1.3395835,1.0849334,-0.76617414
-0.16126047,-0.2295117,1.5255762,0.80267453,-0.8087541
0.23697297,-1.1505823,1.5333699,0.8436431,-0.76897305
-0.9840785,-0.4189246,1.6091974,0.65195453,-1.4103736
1.1692015,0.6148698,1.3738552,0.5844967,-0.98760235
0.47080082,-0.57888794,0.17331834,0.9098242,-0.76629055
-0.862305,-0.24522485,0.47398928,1.3363253,-0.8216394
-0.021233495,-0.325851,1.075281,0.96493757,-0.7713732
0.33012137,0.3885201,1.4922467,0.79697907,-0.852283
-1.2749826,-0.34432283,1.5928372,0.7684146,-0.83768606
-0.9149318,0.010100506,1.8524204,0.71076614,-0.8680295
-0.20832105,-0.22199607,1.7002058,0.5418298,-1.0275632
0.3262124,-0.6502039,-0.69168603,0.753822,-1.0039456
0.05514482,-0.07307585,-1.775179,0.47869194,-0.6815946
-1.4667518,-0.41356847,0.612174,0.7048722,-0.7004379
-0.5679977,-1.2339258,-0.8241805,0.7096746,-0.72198874
1.0200473,-0.026976213,-0.48537654,0.88630134,-0.8510179
0.020857098,-0.2520726,0.45928854,1.5798362,0.69343364
0.695186,1.3660527,1.1493169,0.8966487,-0.8115076
-0.5061889,1.3719852,1.4256988,1.4154005,-0.824062
-0.09020633,1.8881714,1.4795184,0.6676222,-0.9000035
0.5476844,0.829132,1.738513,0.59573036,-0.9407377
0.1037781,0.29732248,1.6820614,0.38838577,-0.9716825
-0.19960275,-0.8660338,1.7475318,0.5208049,-1.0592515
0.2139233,0.002874275,-1.8214092,0.19088383,-0.7010694
1.1828402,-1.0469632,-1.6586986,0.2738903,-0.6887175
-1.2237093,0.5947031,-1.4710858,0.6440612,-0.65675515
0.06998514,-0.3516105,-1.0105095,1.3141195,1.8874985
0.2765546,-0.34885925,-0.82224566,0.8020142,-0.69411147
1.2577894,-0.118614614,-0.12466449,1.3643804,-0.831384
1.5378543,0.4934342,1.2212042,0.89016277,-0.9430562
-0.64061147,0.011399233,1.1387618,0.6522913,-1.0525091
0.9291358,0.64592445,1.4589461,0.5599124,-1.0429298
-0.15704663,0.4680763,1.7018017,0.442829,-1.019219
0.3599028,-0.64546484,1.6483258,0.18317874,-1.1070006
-0.79417074,0.31127864,1.6157334,0.3574629,-1.0050251
0.12921406,-0.022043098,-1.9231601,0.012082036,-0.79745215
