Feature,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11
volume_sn_voxels::v520,0.00047539640218019485,-3.6594221455743536e-05,-0.0005789834540337324,-0.0003630358842201531,-4.921157596982084e-05,-8.183591125998646e-05,-1.3597633596873493e-06,-0.000348293426213786,0.0002873745106626302,-0.00027156295254826546,0.00020349372061900795,-0.00010566503624431789
volume_sn_voxels::v521,0.0005230448441579938,-2.9074173653498292e-05,-0.0008361577638424933,-0.0004561431996989995,-7.838721649022773e-05,-9.208889969158918e-05,-0.00022316636750474572,-0.00022192555479705334,0.00015959967277012765,-0.00036503979936242104,9.655713802203536e-05,7.738304702797905e-05
volume_sn_voxels::v522,0.0005198854487389326,-3.0029937988729216e-05,-0.0009567676461301744,-0.0004911927971988916,-4.172049739281647e-05,-2.4528104404453188e-05,-0.00046079300227575004,-3.5248329368187115e-05,6.795486842747778e-05,-0.0005153469974175096,-5.721624620491639e-05,0.00019393811817280948
volume_sn_voxels::v523,0.00046529638348147273,3.004670907102991e-05,-0.0008348263800144196,-0.00040120899211615324,3.603078948799521e-05,0.00010508230479899794,-0.0005464386194944382,0.00014832543092779815,-4.727928899228573e-05,-0.0005816843477077782,-0.00022791461378801614,0.00029290185193531215
volume_sn_voxels::v524,0.000394101400161162,0.00010045512317446992,-0.000696109957061708,-0.0002412396715953946,0.00014407874550670385,0.00026142914430238307,-0.0004888114635832608,0.00025307154282927513,-0.00014748444664292037,-0.0005857220385223627,-0.00026943604461848736,0.00041202656575478613
volume_sn_voxels::v525,0.00044493592577055097,4.22019547841046e-05,0.0005477678496390581,-0.0003017932758666575,5.490649346029386e-05,0.0002971624780911952,6.941340689081699e-05,-4.2995368858100846e-05,0.0011600819416344166,-0.00012345824507065117,0.0002657616278156638,-0.00029624777380377054
volume_sn_voxels::v526,0.0005194293335080147,4.741163502330892e-05,0.0003318757808301598,-0.0003522017796058208,8.065675501711667e-05,0.0001490880094934255,9.942275937646627e-05,-0.00013115063484292477,0.0011896565556526184,-0.0002353665913688019,0.0002784568350762129,-0.0003826799220405519
volume_sn_voxels::v527,0.0005284436047077179,4.3094642023788765e-05,4.2701040001702495e-06,-0.0003743379784282297,6.184865196701139e-05,-4.243174771545455e-05,9.287508873967454e-05,-0.00024140998721122742,0.001003279467113316,-0.0003197311598341912,0.0001992773322854191,-0.000412874884204939
volume_sn_voxels::v528,0.0005651914398185909,6.318541272776201e-05,-0.00035834312438964844,-0.0003691105521284044,-2.1405526240414474e-06,-0.00018767910660244524,9.09347363631241e-06,-0.00033881686977110803,0.0006817422108724713,-0.0003723482950590551,0.0001454925659345463,-0.0003015969705302268
volume_sn_voxels::v529,0.000543119793292135,4.399716999614611e-05,-0.0006209744606167078,-0.0003693839826155454,-7.483753142878413e-05,-0.0002683995116967708,-0.0001635593071114272,-0.0003230144502595067,0.00037933443672955036,-0.0003358500835020095,1.5073806935106404e-05,-0.00012149132817285135
volume_sn_voxels::v530,0.0004768409417010844,4.9681348173180595e-05,-0.0006827794131822884,-0.000343426683684811,-7.839107274776325e-05,-0.0002314925513928756,-0.0003264739061705768,-0.00018073973478749394,0.00019843922927975655,-0.0004110541194677353,-0.00011278109741397202,9.398854672326706e-06
volume_sn_voxels::v531,0.0004399428144097328,7.898748299339786e-05,-0.0007600038661621511,-0.00031920644687488675,-3.858557465719059e-05,-0.0001384776405757293,-0.00047039767378009856,-9.97501592792105e-06,7.277219265233725e-05,-0.0005164185422472656,-0.00024561441387049854,8.000346861081198e-05
volume_sn_voxels::v532,0.00041542979306541383,0.00010499508061911911,-0.0007439253386110067,-0.0002359407371841371,3.766366353374906e-05,3.89584711228963e-05,-0.0005449057789519429,0.00014029646990820765,-4.5744076487608254e-05,-0.0006899487343616784,-0.00033045621239580214,0.00010981589002767578
