Feature,Factor_0
volume_sn_voxels::v398,-1.342182993888855
volume_sn_voxels::v399,-1.142883062362671
volume_sn_voxels::v400,-1.0582305192947388
volume_sn_voxels::v401,-1.2536424398422241
volume_sn_voxels::v402,-1.3243472576141357
volume_sn_voxels::v403,-1.274127721786499
volume_sn_voxels::v404,-1.2985825538635254
volume_sn_voxels::v405,-1.2957890033721924
volume_sn_voxels::v406,-1.2279871702194214
volume_sn_voxels::v407,-1.160892128944397
volume_sn_voxels::v408,-0.9685289859771729
volume_sn_voxels::v409,-0.8152498006820679
volume_sn_voxels::v410,-0.9956401586532593
volume_sn_voxels::v411,-1.2895480394363403
volume_sn_voxels::v412,-1.2906293869018555
volume_sn_voxels::v413,-1.3850489854812622
volume_sn_voxels::v414,-1.2629722356796265
volume_sn_voxels::v415,-1.1947277784347534
volume_sn_voxels::v416,-1.183316946029663
volume_sn_voxels::v417,-1.2008745670318604
volume_sn_voxels::v418,-1.0323519706726074
volume_sn_voxels::v419,-0.7822273969650269
volume_sn_voxels::v420,-0.4779941737651825
volume_sn_voxels::v421,-0.7725472450256348
volume_sn_voxels::v422,-0.8932368755340576
volume_sn_voxels::v423,-1.0584533214569092
volume_sn_voxels::v424,-1.1753853559494019
volume_sn_voxels::v425,-1.599604606628418
volume_sn_voxels::v426,-1.3258708715438843
volume_sn_voxels::v427,-1.2620307207107544
volume_sn_voxels::v428,-1.1953775882720947
volume_sn_voxels::v429,-1.0695387125015259
volume_sn_voxels::v430,-0.853446364402771
volume_sn_voxels::v431,-0.7330229878425598
volume_sn_voxels::v432,-0.5585458278656006
volume_sn_voxels::v433,-0.7224308252334595
volume_sn_voxels::v434,-1.0286694765090942
volume_sn_voxels::v435,-0.9011846780776978
volume_sn_voxels::v436,-0.9966036677360535
volume_sn_voxels::v437,-1.3460949659347534
volume_sn_voxels::v438,-1.489014744758606
volume_sn_voxels::v439,-1.2250447273254395
volume_sn_voxels::v440,-1.0488412380218506
volume_sn_voxels::v441,-1.005126714706421
volume_sn_voxels::v442,-0.8543524146080017
volume_sn_voxels::v443,-0.5363048315048218
volume_sn_voxels::v444,-0.4726561903953552
volume_sn_voxels::v445,-0.7048779726028442
volume_sn_voxels::v446,-0.8110582828521729
volume_sn_voxels::v447,-0.8483657240867615
volume_sn_voxels::v448,-1.0446743965148926
volume_sn_voxels::v449,-1.2646911144256592
volume_sn_voxels::v450,-1.2395553588867188
volume_sn_voxels::v451,-1.117335319519043
volume_sn_voxels::v452,-0.98595130443573
volume_sn_voxels::v453,-1.0466766357421875
volume_sn_voxels::v454,-0.6159887313842773
volume_sn_voxels::v455,-0.4364998936653137
volume_sn_voxels::v456,-0.6646488904953003
volume_sn_voxels::v457,-0.7848778963088989
volume_sn_voxels::v458,-0.8645126819610596
volume_sn_voxels::v459,-0.8941943049430847
volume_sn_voxels::v460,-1.0914744138717651
volume_sn_voxels::v461,-1.1180185079574585
volume_sn_voxels::v462,-1.044986605644226
volume_sn_voxels::v463,-0.9225119352340698
volume_sn_voxels::v464,-0.6897172927856445
volume_sn_voxels::v465,-0.5299572944641113
volume_sn_voxels::v466,-0.6728242039680481
volume_sn_voxels::v467,-0.7409011125564575
volume_sn_voxels::v468,-0.8080638647079468
volume_sn_voxels::v469,-0.9849066734313965
volume_sn_voxels::v470,-0.9030227661132812
volume_sn_voxels::v471,-0.8386887311935425
volume_sn_voxels::v472,-0.703585147857666
volume_sn_voxels::v473,-0.4792734980583191
volume_sn_voxels::v474,-0.3435367941856384
volume_sn_voxels::v475,-0.416306734085083
volume_sn_voxels::v476,-0.46728336811065674
volume_sn_voxels::v477,-0.6363744735717773
volume_sn_voxels::v478,-0.04262811318039894
volume_sn_voxels::v479,-0.15718737244606018
volume_sn_voxels::v480,-0.4095648527145386
volume_sn_voxels::v481,-0.33685317635536194
volume_sn_voxels::v482,-0.6864850521087646
volume_sn_voxels::v483,-0.703477144241333
volume_sn_voxels::v484,-0.6166360378265381
volume_sn_voxels::v485,-0.8770098686218262
volume_sn_voxels::v486,-0.8596822023391724
volume_sn_voxels::v487,-1.340043306350708
volume_sn_voxels::v488,-1.0188621282577515
volume_sn_voxels::v489,-1.0212912559509277
volume_sn_voxels::v490,-0.9916782975196838
volume_sn_voxels::v491,-1.1456897258758545
volume_sn_voxels::v492,-1.1641631126403809
volume_sn_voxels::v493,-1.0364786386489868
volume_sn_voxels::v494,-1.02553129196167
volume_sn_voxels::v495,-1.0815508365631104
volume_sn_voxels::v496,-1.0400192737579346
volume_sn_voxels::v497,-1.1287517547607422
volume_sn_voxels::v498,-1.2117984294891357
volume_sn_voxels::v499,-1.1359007358551025
volume_sn_voxels::v500,-1.042792558670044
volume_sn_voxels::v501,-0.8916764259338379
volume_sn_voxels::v502,-1.113144874572754
volume_sn_voxels::v503,-1.1629945039749146
volume_sn_voxels::v504,-1.161374568939209
volume_sn_voxels::v505,-1.1450121402740479
volume_sn_voxels::v506,-1.1130127906799316
volume_sn_voxels::v507,-0.9449623227119446
volume_sn_voxels::v508,-0.8952621817588806
volume_sn_voxels::v509,-1.138603925704956
volume_sn_voxels::v510,-1.0902377367019653
volume_sn_voxels::v511,-1.0351383686065674
volume_sn_voxels::v512,-1.12381911277771
volume_sn_voxels::v513,-1.193124532699585
volume_sn_voxels::v514,-1.0711219310760498
volume_sn_voxels::v515,-0.9837552905082703
volume_sn_voxels::v516,-0.8120074272155762
volume_sn_voxels::v517,-1.1664209365844727
volume_sn_voxels::v518,-1.2098026275634766
volume_sn_voxels::v519,-1.1344746351242065
volume_sn_voxels::v520,-1.0261496305465698
volume_sn_voxels::v521,-1.1499768495559692
volume_sn_voxels::v522,-1.190868616104126
volume_sn_voxels::v523,-1.0070419311523438
volume_sn_voxels::v524,-0.8173040151596069
volume_sn_voxels::v525,-1.0333949327468872
volume_sn_voxels::v526,-1.15469229221344
volume_sn_voxels::v527,-1.2115373611450195
volume_sn_voxels::v528,-1.2311897277832031
volume_sn_voxels::v529,-1.18501877784729
volume_sn_voxels::v530,-1.0423780679702759
volume_sn_voxels::v531,-0.998573899269104
