Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20
Subject_70,-0.032729283,-0.28432724,-0.9099047,-0.057910502,1.513708,-0.6906562,0.16274469,0.0316897,-1.4871926,0.06769321,-0.653306,-0.8609858,0.86812544,0.8857233,-0.7581751,-0.26825216,-0.010534498,-0.7989009,0.6713219,-0.13448441
Subject_71,-0.6246033,0.6879112,0.5342466,0.1377843,1.5647565,0.62782735,0.4696485,1.2356472,0.66111207,-0.790725,0.18107723,-0.27204105,0.3284298,-1.0046121,0.23340943,0.15513133,-0.28636444,-0.55861205,-0.09291593,1.9077772
Subject_72,-1.887674,-0.87144697,0.5842334,-0.05736419,-0.9313602,0.7404356,0.9813848,-1.8455266,1.2469186,0.062218897,0.916108,-0.9264628,1.054684,-1.6458223,-1.0364163,-1.5051377,0.16626912,1.5795722,-0.3141244,0.47188863
Subject_73,0.26586118,1.7901028,0.16735739,0.120565586,-2.0274694,-0.884518,0.54359293,-1.4297758,0.5837069,-0.23073995,-0.27953514,-0.13636683,0.15228797,-0.0790861,-0.5137565,1.3729004,0.05525998,0.95499414,-0.26343098,0.7617662
Subject_74,1.0721017,-1.7143903,-0.4110927,0.085116886,0.6271374,2.4693944,-0.35217983,-0.31052676,-2.07584,-1.8500552,2.1081896,0.90116805,0.6863561,1.8670437,-0.16880211,-0.010883234,-0.005430931,0.48404613,-1.9926758,-0.7073952
Subject_75,1.0785115,-0.14377774,-1.9398731,-0.5790914,0.4752842,-0.64606243,0.90784824,-0.54349315,0.55283695,0.6561793,-0.69993895,-0.42945924,-0.40071782,1.4301066,2.086758,-1.2926625,0.44133982,-0.23611853,-0.55958027,-0.03077557
Subject_76,0.715433,1.0633945,-1.0631306,-0.556896,-1.6040344,1.051179,1.0872296,-2.360094,-0.2829071,-1.003293,1.2560025,-0.8852165,-0.22096062,-0.45198604,-0.68029827,-0.40032575,-0.013035663,0.112491764,0.62805516,1.1465312
Subject_77,0.14587389,0.025587156,-1.1840063,-0.12598984,-2.2871091,-2.023494,0.66965365,0.4263673,-0.69266295,0.8033733,1.4868587,-0.50731426,0.5143615,0.20799136,0.48110536,-2.170676,-0.55575424,-0.6531516,-0.82881266,0.37725177
Subject_78,0.840677,0.9828933,-0.8910057,0.30304262,0.9692977,-1.3614105,0.8675099,0.91873884,-0.14177649,0.13233332,-0.5407952,-0.9153459,-0.0060823825,0.5706336,0.230165,-1.2229102,0.03920717,-0.8416125,0.66326684,-1.302053
Subject_79,-1.3899431,1.1604162,0.6143368,1.6154209,0.8650816,-0.09694532,0.78427756,0.56666666,-1.0104936,1.4063691,-2.3404145,-0.10589639,1.7143381,2.1589532,0.5478733,1.6121923,0.31730032,0.39774257,0.4284455,0.70581824
Subject_80,1.9259994,1.0044492,-0.9231945,-0.84176123,0.0074411775,-0.67828137,0.28111455,-1.6664653,0.33955494,0.47441214,0.7002756,1.1480349,0.031125396,-1.2718315,-0.37039787,-0.0362113,-0.03699545,-0.09351976,-1.6719245,-1.2083626
Subject_81,0.7044008,0.9435072,-1.2987587,0.028613282,-0.5621107,1.8238131,-0.28149205,-0.9780957,1.6412013,0.2750555,1.3856974,-0.86882,-0.84082127,0.40619743,-2.0174963,0.1577121,0.14904587,1.0434308,-0.8456788,-0.8006827
Subject_82,-0.17855795,0.36417195,-1.0043492,0.20394437,-0.6625582,0.644409,0.23555194,0.5599446,-2.1268415,-1.4451616,-0.43723541,0.20068254,0.7079608,1.5543699,-0.674316,0.23176463,1.8639575,0.90812737,-0.2416743,0.9779372
Subject_83,0.36033425,0.43881035,-0.32218093,1.8033663,0.94140446,0.58884305,-7.0292206,0.76044565,-0.42265546,0.5329247,-0.48649862,-0.8805573,1.0991352,0.09827096,0.15778242,-3.215168,0.31034172,0.637451,-0.57912856,-1.9528768
Subject_84,-1.6224316,0.5320216,-0.23593527,-0.112238236,0.25980467,0.01515688,0.4844196,-0.957864,1.2828046,0.5765899,0.22978221,1.0394794,0.41172028,0.017916081,1.1387197,-1.1749244,-0.28579047,0.17288186,-0.53529567,0.7236165
Subject_85,0.33883464,0.8555359,-1.0682139,-0.5664622,-0.02316922,-0.6244044,0.9802218,0.25552055,-0.089255586,-0.06964054,2.8374798,-1.1966472,-0.6216905,-0.027218359,-0.21416754,-0.028545037,-1.565856,0.41939825,0.23209786,0.5905186
Subject_86,1.1933751,-0.39727977,1.1610787,-1.7190105,1.2541934,1.4962778,-0.13487415,-0.7970921,0.39962295,-0.049877178,1.5055534,1.0554556,0.28766003,1.6769937,0.30432674,-0.7306629,-0.25968137,0.23869114,-0.93495405,1.7450354
